1,2,1,1,1
2,3,2,2,1
3,4,3,3,1
4,5,4,4,1
5,6,5,5,2
6,7,6,6,2
7,8,7,7,2
8,9,8,8,2
9,10,9,9,1
10,11,10,10,1
11,12,11,11,1
12,13,12,12,1
13,14,13,13,2
14,15,14,14,2
15,16,15,15,2
16,17,16,16,2
17,18,17,17,2
18,19,18,18,1
19,20,19,19,1
20,21,20,20,1
21,22,21,21,2
22,23,22,22,2
23,24,23,23,2
24,25,24,24,2
25,26,25,25,1
26,27,26,26,1
27,28,27,27,1
28,29,28,28,1
29,30,29,29,2
30,31,30,30,2
31,32,31,31,2
32,33,32,32,2
33,34,33,33,2
34,35,34,34,1
35,36,35,35,1
36,37,36,36,1
37,38,37,37,1
38,39,38,38,2
39,40,39,39,2
40,41,40,40,2
41,42,41,41,2
42,43,42,42,2
43,44,43,43,1
44,45,44,44,1
45,46,45,45,1
46,47,46,46,1
47,48,47,47,2
48,49,48,48,2
49,50,49,49,2
50,51,50,50,2
51,52,51,51,2
52,53,52,52,1
53,54,53,53,1
54,55,54,54,1
55,56,55,55,1
56,57,56,56,2
57,58,57,57,2
58,59,58,58,2
59,60,59,59,2
60,61,60,60,2
61,62,61,61,1
62,63,62,62,1
63,64,63,63,1
64,65,64,64,1
65,66,65,65,2
66,67,66,66,2
67,68,67,67,2
68,69,68,68,2
69,70,69,69,2
70,71,70,70,1
71,72,71,71,1
72,73,72,72,1
73,74,73,73,1
74,75,74,74,2
75,76,75,75,2
76,77,76,76,2
77,78,77,77,2
78,79,78,78,2
79,80,79,79,1
80,81,80,80,1
81,82,81,81,1
82,83,82,82,1
83,84,83,83,2
84,85,84,84,2
85,86,85,85,2
86,87,86,86,2
87,88,87,87,2
88,89,88,88,1
89,90,89,89,1
90,91,90,90,1
91,92,91,91,1
92,93,92,92,2
93,94,93,93,2
94,95,94,94,2
95,96,95,95,2
96,97,96,96,2
97,98,97,97,1
98,99,98,98,1
99,100,99,99,1
100,1,100,100,1
